#SampleID	anonymized_name	collection_timestamp	commonloungetime_hr	description	floor	geo_loc_name	host_life_stage	host_subject_id	hoursoutside	lastshower_day	plants	roomateids	roomates	sample_type	samplenum	sex	sheetwashfreq_week	surface	surfaceaggregated	surfacegroup	timepoint	washlast_day	windowsopenhours	sheetwashfreq_binned	last_shower_binned	hoursoutside_binned
12470.10.Hand.1	10	2016	NA	sample of Hand	7	US:IL:Chicago	adult	10	NA	NA	NA	NA	0	skin	33	male	NA	Hand	Hand	Hand	1	NA	NA	NA	NA	NA
12470.10.Hand.2	10	2016	0	sample of Hand	7	US:IL:Chicago	adult	10	1	0.25	0	NA	0	skin	123	male	2	Hand	Hand	Hand	2	2	0	high	recent	low
12470.10.Hand.3	10	2016	15	sample of Hand	7	US:IL:Chicago	adult	10	4	1	0	NA	0	skin	284	male	2	Hand	Hand	Hand	3	7	0	high	recent	low
12470.10.Hand.4	10	2016	10	sample of Hand	7	US:IL:Chicago	adult	10	3	0.5	0	NA	0	skin	358	male	8	Hand	Hand	Hand	4	14	5	low	recent	low
12470.10.Shoe.2	10	2016	0	sample of Shoe	7	US:IL:Chicago	Not applicable	10	1	0.25	0	NA	0	surface	99	male	2	Shoe	Shoe	Floor	2	2	0			
12470.10.Shoe.3	10	2016	15	sample of Shoe	7	US:IL:Chicago	Not applicable	10	4	1	0	NA	0	surface	283	male	2	Shoe	Shoe	Floor	3	7	0			
12470.10.Shoe.4	10	2016	10	sample of Shoe	7	US:IL:Chicago	Not applicable	10	3	0.5	0	NA	0	surface	357	male	8	Shoe	Shoe	Floor	4	14	5			
12470.11.Bed.Sheet.2	11	2016	0	sample of Bed Sheet	6	US:IL:Chicago	Not applicable	11	48	0.58	0	NA	1	surface	233	male	3	Bed.Sheet	Bed Sheet	Hand	2	14	168			
12470.11.Bed.Sheet.3	11	2016	15	sample of Bed Sheet	5	US:IL:Chicago	Not applicable	11	28	0.17	0	NA	0	surface	441	male	2	Bed.Sheet	Bed Sheet	Hand	3	7	48			
12470.11.Bed.Sheet.4	11	2016	4	sample of Bed Sheet	5	US:IL:Chicago	Not applicable	11	30	0.08	0	NA	0	surface	361	male	3	Bed.Sheet	Bed Sheet	Hand	4	21	168			
12470.11.Desk.2	11	2016	0	sample of Desk	6	US:IL:Chicago	Not applicable	11	48	0.58	0	NA	1	surface	229	male	3	Desk	Desk	Hand	2	14	168			
12470.11.Desk.3	11	2016	15	sample of Desk	5	US:IL:Chicago	Not applicable	11	28	0.17	0	NA	0	surface	442	male	2	Desk	Desk	Hand	3	7	48			
12470.11.Desk.4	11	2016	4	sample of Desk	5	US:IL:Chicago	Not applicable	11	30	0.08	0	NA	0	surface	365	male	3	Desk	Desk	Hand	4	21	168			
12470.11.Door.Handle.2	11	2016	0	sample of Door Handle	6	US:IL:Chicago	Not applicable	11	48	0.58	0	NA	1	surface	234	male	3	Door.Handle	Door Handle	Hand	2	14	168			
12470.11.Door.Handle.3	11	2016	15	sample of Door Handle	5	US:IL:Chicago	Not applicable	11	28	0.17	0	NA	0	surface	443	male	2	Door.Handle	Door Handle	Hand	3	7	48			
12470.11.Door.Handle.4	11	2016	4	sample of Door Handle	5	US:IL:Chicago	Not applicable	11	30	0.08	0	NA	0	surface	362	male	3	Door.Handle	Door Handle	Hand	4	21	168			
12470.11.Floor.2	11	2016	0	sample of Floor	6	US:IL:Chicago	Not applicable	11	48	0.58	0	NA	1	surface	231	male	3	Floor	Floor	Floor	2	14	168			
12470.11.Floor.4	11	2016	4	sample of Floor	5	US:IL:Chicago	Not applicable	11	30	0.08	0	NA	0	surface	360	male	3	Floor	Floor	Floor	4	21	168			
12470.11.Hand.1	11	2016	NA	sample of Hand	5	US:IL:Chicago	adult	11	NA	NA	NA	NA	0	skin	35	male	NA	Hand	Hand	Hand	1	NA	NA	NA	NA	NA
12470.11.Hand.2	11	2016	0	sample of Hand	6	US:IL:Chicago	adult	11	48	0.58	0	NA	1	skin	232	male	3	Hand	Hand	Hand	2	14	168	medium	recent	high
12470.11.Hand.3	11	2016	15	sample of Hand	5	US:IL:Chicago	adult	11	28	0.17	0	NA	0	skin	440	male	2	Hand	Hand	Hand	3	7	48	high	recent	high
12470.11.Hand.4	11	2016	4	sample of Hand	5	US:IL:Chicago	adult	11	30	0.08	0	NA	0	skin	364	male	3	Hand	Hand	Hand	4	21	168	medium	recent	high
12470.11.Shoe.2	11	2016	0	sample of Shoe	6	US:IL:Chicago	Not applicable	11	48	0.58	0	NA	1	surface	230	male	3	Shoe	Shoe	Floor	2	14	168			
12470.11.Shoe.3	11	2016	15	sample of Shoe	5	US:IL:Chicago	Not applicable	11	28	0.17	0	NA	0	surface	444	male	2	Shoe	Shoe	Floor	3	7	48			
12470.11.Shoe.4	11	2016	4	sample of Shoe	5	US:IL:Chicago	Not applicable	11	30	0.08	0	NA	0	surface	363	male	3	Shoe	Shoe	Floor	4	21	168			
12470.12.Bed.Sheet.2	12	2016	0	sample of Bed Sheet	7	US:IL:Chicago	Not applicable	12	6	1	0	6	1	surface	531	female	NA	Bed.Sheet	Bed Sheet	Hand	2	NA	9			
12470.12.Bed.Sheet.3	12	2016	0	sample of Bed Sheet	7	US:IL:Chicago	Not applicable	12	4	1.5	0	6	1	surface	175	female	10	Bed.Sheet	Bed Sheet	Hand	3	90+	0			
12470.12.Bed.Sheet.4	12	2016	0	sample of Bed Sheet	7	US:IL:Chicago	Not applicable	12	12	2	0	6	2	surface	367	female	NA	Bed.Sheet	Bed Sheet	Hand	4	NA	168			
12470.12.Desk.2	12	2016	0	sample of Desk	7	US:IL:Chicago	Not applicable	12	6	1	0	6	1	surface	534	female	NA	Desk	Desk	Hand	2	NA	9			
12470.12.Desk.3	12	2016	0	sample of Desk	7	US:IL:Chicago	Not applicable	12	4	1.5	0	6	1	surface	151	female	10	Desk	Desk	Hand	3	90+	0			
12470.12.Desk.4	12	2016	0	sample of Desk	7	US:IL:Chicago	Not applicable	12	12	2	0	6	2	surface	371	female	NA	Desk	Desk	Hand	4	NA	168			
12470.12.Door.Handle.2	12	2016	0	sample of Door Handle	7	US:IL:Chicago	Not applicable	12	6	1	0	6	1	surface	530	female	NA	Door.Handle	Door Handle	Hand	2	NA	9			
12470.12.Door.Handle.3	12	2016	0	sample of Door Handle	7	US:IL:Chicago	Not applicable	12	4	1.5	0	6	1	surface	183	female	10	Door.Handle	Door Handle	Hand	3	90+	0			
12470.12.Door.Handle.4	12	2016	0	sample of Door Handle	7	US:IL:Chicago	Not applicable	12	12	2	0	6	2	surface	368	female	NA	Door.Handle	Door Handle	Hand	4	NA	168			
12470.12.Floor.2	12	2016	0	sample of Floor	7	US:IL:Chicago	Not applicable	12	6	1	0	6	1	surface	532	female	NA	Floor	Floor	Floor	2	NA	9			
12470.12.Floor.3	12	2016	0	sample of Floor	7	US:IL:Chicago	Not applicable	12	4	1.5	0	6	1	surface	159	female	10	Floor	Floor	Floor	3	90+	0			
12470.12.Floor.4	12	2016	0	sample of Floor	7	US:IL:Chicago	Not applicable	12	12	2	0	6	2	surface	366	female	NA	Floor	Floor	Floor	4	NA	168			
12470.12.Hand.1	12	2016	NA	sample of Hand	7	US:IL:Chicago	adult	12	NA	NA	NA	6	2	skin	32	female	NA	Hand	Hand	Hand	1	NA	NA	NA	NA	NA
12470.12.Hand.2	12	2016	0	sample of Hand	7	US:IL:Chicago	adult	12	6	1	0	6	1	skin	533	female	NA	Hand	Hand	Hand	2	NA	9	NA	recent	high
12470.12.Hand.4	12	2016	0	sample of Hand	7	US:IL:Chicago	adult	12	12	2	0	6	2	skin	370	female	NA	Hand	Hand	Hand	4	NA	168	NA	not_recent	high
12470.12.Shoe.2	12	2016	0	sample of Shoe	7	US:IL:Chicago	Not applicable	12	6	1	0	6	1	surface	529	female	NA	Shoe	Shoe	Floor	2	NA	9			
12470.12.Shoe.3	12	2016	0	sample of Shoe	7	US:IL:Chicago	Not applicable	12	4	1.5	0	6	1	surface	191	female	10	Shoe	Shoe	Floor	3	90+	0			
12470.12.Shoe.4	12	2016	0	sample of Shoe	7	US:IL:Chicago	Not applicable	12	12	2	0	6	2	surface	369	female	NA	Shoe	Shoe	Floor	4	NA	168			
12470.13.Bed.Sheet.2	13	2016	0	sample of Bed Sheet	5	US:IL:Chicago	Not applicable	13	7	1.08	0	NA	0	surface	224	female	3	Bed.Sheet	Bed Sheet	Hand	2	0	0			
12470.13.Bed.Sheet.3	13	2016	2	sample of Bed Sheet	5	US:IL:Chicago	Not applicable	13	4	2	0	NA	0	surface	128	female	2	Bed.Sheet	Bed Sheet	Hand	3	14	0			
12470.13.Bed.Sheet.4	13	2016	1	sample of Bed Sheet	5	US:IL:Chicago	Not applicable	13	4	0.08	0	NA	0	surface	373	female	2	Bed.Sheet	Bed Sheet	Hand	4	7	0			
12470.13.Desk.2	13	2016	0	sample of Desk	5	US:IL:Chicago	Not applicable	13	7	1.08	0	NA	0	surface	225	female	3	Desk	Desk	Hand	2	0	0			
12470.13.Desk.3	13	2016	2	sample of Desk	5	US:IL:Chicago	Not applicable	13	4	2	0	NA	0	surface	120	female	2	Desk	Desk	Hand	3	14	0			
12470.13.Desk.4	13	2016	1	sample of Desk	5	US:IL:Chicago	Not applicable	13	4	0.08	0	NA	0	surface	377	female	2	Desk	Desk	Hand	4	7	0			
12470.13.Door.Handle.2	13	2016	0	sample of Door Handle	5	US:IL:Chicago	Not applicable	13	7	1.08	0	NA	0	surface	223	female	3	Door.Handle	Door Handle	Hand	2	0	0			
12470.13.Door.Handle.3	13	2016	2	sample of Door Handle	5	US:IL:Chicago	Not applicable	13	4	2	0	NA	0	surface	112	female	2	Door.Handle	Door Handle	Hand	3	14	0			
12470.13.Door.Handle.4	13	2016	1	sample of Door Handle	5	US:IL:Chicago	Not applicable	13	4	0.08	0	NA	0	surface	374	female	2	Door.Handle	Door Handle	Hand	4	7	0			
12470.13.Floor.2	13	2016	0	sample of Floor	5	US:IL:Chicago	Not applicable	13	7	1.08	0	NA	0	surface	227	female	3	Floor	Floor	Floor	2	0	0			
12470.13.Floor.3	13	2016	2	sample of Floor	5	US:IL:Chicago	Not applicable	13	4	2	0	NA	0	surface	104	female	2	Floor	Floor	Floor	3	14	0			
12470.13.Floor.4	13	2016	1	sample of Floor	5	US:IL:Chicago	Not applicable	13	4	0.08	0	NA	0	surface	372	female	2	Floor	Floor	Floor	4	7	0			
12470.13.Hand.1	13	2016	NA	sample of Hand	5	US:IL:Chicago	adult	13	NA	NA	NA	NA	0	skin	31	female	NA	Hand	Hand	Hand	1	NA	NA	NA	NA	NA
12470.13.Hand.2	13	2016	0	sample of Hand	5	US:IL:Chicago	adult	13	7	1.08	0	NA	0	skin	228	female	3	Hand	Hand	Hand	2	0	0	medium	not_recent	high
12470.13.Shoe.2	13	2016	0	sample of Shoe	5	US:IL:Chicago	Not applicable	13	7	1.08	0	NA	0	surface	226	female	3	Shoe	Shoe	Floor	2	0	0			
12470.13.Shoe.4	13	2016	1	sample of Shoe	5	US:IL:Chicago	Not applicable	13	4	0.08	0	NA	0	surface	375	female	2	Shoe	Shoe	Floor	4	7	0			
12470.14.Bed.Sheet.2	14	2016	1	sample of Bed Sheet	6	US:IL:Chicago	Not applicable	14	2	0	0	Outside Study	1	surface	247	female	10	Bed.Sheet	Bed Sheet	Hand	2	1	0			
12470.14.Bed.Sheet.3	14	2016	2	sample of Bed Sheet	6	US:IL:Chicago	Not applicable	14	3	0.83	0	Outside Study	1	surface	421	female	10	Bed.Sheet	Bed Sheet	Hand	3	14	168			
12470.14.Bed.Sheet.4	14	2016	2	sample of Bed Sheet	6	US:IL:Chicago	Not applicable	14	3	0.5	0	Outside Study	1	surface	581	female	10	Bed.Sheet	Bed Sheet	Hand	4	35	168			
12470.14.Desk.4	14	2016	2	sample of Desk	6	US:IL:Chicago	Not applicable	14	3	0.5	0	Outside Study	1	surface	580	female	10	Desk	Desk	Hand	4	35	168			
12470.14.Door.Handle.2	14	2016	1	sample of Door Handle	6	US:IL:Chicago	Not applicable	14	2	0	0	Outside Study	1	surface	249	female	10	Door.Handle	Door Handle	Hand	2	1	0			
12470.14.Door.Handle.3	14	2016	2	sample of Door Handle	6	US:IL:Chicago	Not applicable	14	3	0.83	0	Outside Study	1	surface	425	female	10	Door.Handle	Door Handle	Hand	3	14	168			
12470.14.Door.Handle.4	14	2016	2	sample of Door Handle	6	US:IL:Chicago	Not applicable	14	3	0.5	0	Outside Study	1	surface	582	female	10	Door.Handle	Door Handle	Hand	4	35	168			
12470.14.Floor.2	14	2016	1	sample of Floor	6	US:IL:Chicago	Not applicable	14	2	0	0	Outside Study	1	surface	251	female	10	Floor	Floor	Floor	2	1	0			
12470.14.Floor.3	14	2016	2	sample of Floor	6	US:IL:Chicago	Not applicable	14	3	0.83	0	Outside Study	1	surface	424	female	10	Floor	Floor	Floor	3	14	168			
12470.14.Floor.4	14	2016	2	sample of Floor	6	US:IL:Chicago	Not applicable	14	3	0.5	0	Outside Study	1	surface	577	female	10	Floor	Floor	Floor	4	35	168			
12470.14.Hand.1	14	2016	NA	sample of Hand	6	US:IL:Chicago	adult	14	NA	NA	NA	Outside Study	1	skin	39	female	NA	Hand	Hand	Hand	1	NA	NA	NA	NA	NA
12470.14.Hand.2	14	2016	1	sample of Hand	6	US:IL:Chicago	adult	14	2	0	0	Outside Study	1	skin	252	female	10	Hand	Hand	Hand	2	1	0	low	recent	low
12470.14.Hand.3	14	2016	2	sample of Hand	6	US:IL:Chicago	adult	14	3	0.83	0	Outside Study	1	skin	426	female	10	Hand	Hand	Hand	3	14	168	low	recent	low
12470.14.Hand.4	14	2016	2	sample of Hand	6	US:IL:Chicago	adult	14	3	0.5	0	Outside Study	1	skin	578	female	10	Hand	Hand	Hand	4	35	168	low	recent	low
12470.14.Shoe.2	14	2016	1	sample of Shoe	6	US:IL:Chicago	Not applicable	14	2	0	0	Outside Study	1	surface	248	female	10	Shoe	Shoe	Floor	2	1	0			
12470.14.Shoe.3	14	2016	2	sample of Shoe	6	US:IL:Chicago	Not applicable	14	3	0.83	0	Outside Study	1	surface	422	female	10	Shoe	Shoe	Floor	3	14	168			
12470.14.Shoe.4	14	2016	2	sample of Shoe	6	US:IL:Chicago	Not applicable	14	3	0.5	0	Outside Study	1	surface	579	female	10	Shoe	Shoe	Floor	4	35	168			
12470.15.Bed.Sheet.2	15	2016	4	sample of Bed Sheet	7	US:IL:Chicago	Not applicable	15	4	0.21	0	Outside Study	1	surface	255	male	2	Bed.Sheet	Bed Sheet	Hand	2	14	168			
12470.15.Bed.Sheet.3	15	2016	20	sample of Bed Sheet	7	US:IL:Chicago	Not applicable	15	3	0.75	0	Outside Study	1	surface	400	male	2	Bed.Sheet	Bed Sheet	Hand	3	7	168			
12470.15.Bed.Sheet.4	15	2016	10	sample of Bed Sheet	7	US:IL:Chicago	Not applicable	15	7	0.42	0	Outside Study	1	surface	588	male	2	Bed.Sheet	Bed Sheet	Hand	4	7	168			
12470.15.Desk.2	15	2016	4	sample of Desk	7	US:IL:Chicago	Not applicable	15	4	0.21	0	Outside Study	1	surface	258	male	2	Desk	Desk	Hand	2	14	168			
12470.15.Desk.3	15	2016	20	sample of Desk	7	US:IL:Chicago	Not applicable	15	3	0.75	0	Outside Study	1	surface	397	male	2	Desk	Desk	Hand	3	7	168			
12470.15.Desk.4	15	2016	10	sample of Desk	7	US:IL:Chicago	Not applicable	15	7	0.42	0	Outside Study	1	surface	587	male	2	Desk	Desk	Hand	4	7	168			
12470.15.Door.Handle.2	15	2016	4	sample of Door Handle	7	US:IL:Chicago	Not applicable	15	4	0.21	0	Outside Study	1	surface	253	male	2	Door.Handle	Door Handle	Hand	2	14	168			
12470.15.Door.Handle.3	15	2016	20	sample of Door Handle	7	US:IL:Chicago	Not applicable	15	3	0.75	0	Outside Study	1	surface	399	male	2	Door.Handle	Door Handle	Hand	3	7	168			
12470.15.Door.Handle.4	15	2016	10	sample of Door Handle	7	US:IL:Chicago	Not applicable	15	7	0.42	0	Outside Study	1	surface	584	male	2	Door.Handle	Door Handle	Hand	4	7	168			
12470.15.Floor.2	15	2016	4	sample of Floor	7	US:IL:Chicago	Not applicable	15	4	0.21	0	Outside Study	1	surface	254	male	2	Floor	Floor	Floor	2	14	168			
12470.15.Floor.3	15	2016	20	sample of Floor	7	US:IL:Chicago	Not applicable	15	3	0.75	0	Outside Study	1	surface	398	male	2	Floor	Floor	Floor	3	7	168			
12470.15.Floor.4	15	2016	10	sample of Floor	7	US:IL:Chicago	Not applicable	15	7	0.42	0	Outside Study	1	surface	586	male	2	Floor	Floor	Floor	4	7	168			
12470.15.Hand.1	15	2016	NA	sample of Hand	7	US:IL:Chicago	adult	15	NA	NA	NA	Outside Study	1	skin	41	male	NA	Hand	Hand	Hand	1	NA	NA	NA	NA	NA
12470.15.Hand.2	15	2016	4	sample of Hand	7	US:IL:Chicago	adult	15	4	0.21	0	Outside Study	1	skin	257	male	2	Hand	Hand	Hand	2	14	168	high	recent	low
12470.15.Hand.3	15	2016	20	sample of Hand	7	US:IL:Chicago	adult	15	3	0.75	0	Outside Study	1	skin	401	male	2	Hand	Hand	Hand	3	7	168	high	recent	low
12470.15.Hand.4	15	2016	10	sample of Hand	7	US:IL:Chicago	adult	15	7	0.42	0	Outside Study	1	skin	585	male	2	Hand	Hand	Hand	4	7	168	high	recent	high
12470.15.Shoe.2	15	2016	4	sample of Shoe	7	US:IL:Chicago	Not applicable	15	4	0.21	0	Outside Study	1	surface	256	male	2	Shoe	Shoe	Floor	2	14	168			
12470.15.Shoe.4	15	2016	10	sample of Shoe	7	US:IL:Chicago	Not applicable	15	7	0.42	0	Outside Study	1	surface	583	male	2	Shoe	Shoe	Floor	4	7	168			
12470.16.Bed.Sheet.2	16	2016	3	sample of Bed Sheet	7	US:IL:Chicago	Not applicable	16	15	NA	1	9	1	surface	266	male	2.5	Bed.Sheet	Bed Sheet	Hand	2	21	4			
12470.16.Bed.Sheet.3	16	2016	4	sample of Bed Sheet	7	US:IL:Chicago	Not applicable	16	9	1.46	1	9	1	surface	66	male	4	Bed.Sheet	Bed Sheet	Hand	3	0	20			
12470.16.Bed.Sheet.4	16	2016	6	sample of Bed Sheet	7	US:IL:Chicago	Not applicable	16	10	0.54	1	9	1	surface	592	male	3	Bed.Sheet	Bed Sheet	Hand	4	14	168			
12470.16.Desk.2	16	2016	3	sample of Desk	7	US:IL:Chicago	Not applicable	16	15	NA	1	9	1	surface	269	male	2.5	Desk	Desk	Hand	2	21	4			
12470.16.Desk.3	16	2016	4	sample of Desk	7	US:IL:Chicago	Not applicable	16	9	1.46	1	9	1	surface	61	male	4	Desk	Desk	Hand	3	0	20			
12470.16.Door.Handle.3	16	2016	4	sample of Door Handle	7	US:IL:Chicago	Not applicable	16	9	1.46	1	9	1	surface	63	male	4	Door.Handle	Door Handle	Hand	3	0	20			
12470.16.Door.Handle.4	16	2016	6	sample of Door Handle	7	US:IL:Chicago	Not applicable	16	10	0.54	1	9	1	surface	593	male	3	Door.Handle	Door Handle	Hand	4	14	168			
12470.16.Floor.2	16	2016	3	sample of Floor	7	US:IL:Chicago	Not applicable	16	15	NA	1	9	1	surface	265	male	2.5	Floor	Floor	Floor	2	21	4			
12470.16.Floor.3	16	2016	4	sample of Floor	7	US:IL:Chicago	Not applicable	16	9	1.46	1	9	1	surface	62	male	4	Floor	Floor	Floor	3	0	20			
12470.16.Floor.4	16	2016	6	sample of Floor	7	US:IL:Chicago	Not applicable	16	10	0.54	1	9	1	surface	590	male	3	Floor	Floor	Floor	4	14	168			
12470.16.Hand.1	16	2016	NA	sample of Hand	7	US:IL:Chicago	adult	16	NA	NA	NA	9	1	skin	40	male	NA	Hand	Hand	Hand	1	NA	NA	NA	NA	NA
12470.16.Hand.2	16	2016	3	sample of Hand	7	US:IL:Chicago	adult	16	15	NA	1	9	1	skin	268	male	2.5	Hand	Hand	Hand	2	21	4	medium	NA	high
12470.16.Hand.3	16	2016	4	sample of Hand	7	US:IL:Chicago	adult	16	9	1.46	1	9	1	skin	64	male	4	Hand	Hand	Hand	3	0	20	medium	not_recent	high
12470.16.Hand.4	16	2016	6	sample of Hand	7	US:IL:Chicago	adult	16	10	0.54	1	9	1	skin	594	male	3	Hand	Hand	Hand	4	14	168	medium	recent	high
12470.16.Shoe.2	16	2016	3	sample of Shoe	7	US:IL:Chicago	Not applicable	16	15	NA	1	9	1	surface	270	male	2.5	Shoe	Shoe	Floor	2	21	4			
12470.16.Shoe.3	16	2016	4	sample of Shoe	7	US:IL:Chicago	Not applicable	16	9	1.46	1	9	1	surface	65	male	4	Shoe	Shoe	Floor	3	0	20			
12470.16.Shoe.4	16	2016	6	sample of Shoe	7	US:IL:Chicago	Not applicable	16	10	0.54	1	9	1	surface	589	male	3	Shoe	Shoe	Floor	4	14	168			
12470.17.Bed.Sheet.2	17	2016	NA	sample of Bed Sheet	5	US:IL:Chicago	Not applicable	17	NA	NA	NA	NA	NA	surface	221	NA	NA	Bed.Sheet	Bed Sheet	Hand	2	NA	NA			
12470.17.Bed.Sheet.3	17	2016	NA	sample of Bed Sheet	5	US:IL:Chicago	Not applicable	17	NA	NA	NA	NA	NA	surface	498	NA	NA	Bed.Sheet	Bed Sheet	Hand	3	NA	NA			
12470.17.Desk.2	17	2016	NA	sample of Desk	5	US:IL:Chicago	Not applicable	17	NA	NA	NA	NA	NA	surface	219	NA	NA	Desk	Desk	Hand	2	NA	NA			
12470.17.Desk.3	17	2016	NA	sample of Desk	5	US:IL:Chicago	Not applicable	17	NA	NA	NA	NA	NA	surface	494	NA	NA	Desk	Desk	Hand	3	NA	NA			
12470.17.Door.Handle.2	17	2016	NA	sample of Door Handle	5	US:IL:Chicago	Not applicable	17	NA	NA	NA	NA	NA	surface	218	NA	NA	Door.Handle	Door Handle	Hand	2	NA	NA			
